Material	Descripción del material
18006345	SIMULACION AZULEJO BARRA SATELITAL.
18006346	BASE HABLADOR CAJA PVC TROQUE 32X29+14CM
18006347	HABLADOR CAJA PVC + VINIL MATE + 30X34CM
18006348	TABLE TENT HABLADOR DE CAJA VINIL MATE
18006349	TABLE TENT FACTURA 15X15+10 CM
18006350	DANGLER PROMOCIONAL 24X17CM PVC TROQUELA
18006351	VINIL LAMINADO 54X29 CM PARA HIELERA DP
18006352	ROTULO PVC INTERNO 3 MM + VINIL
18006353	LONA PEDESTAL PROMOCIONAL 0.60X1.20M
18006354	ROTULO PVC PEDESTAL TROQUELADO 0.60X40CM
18006355	STICKET PROMOCIONAL MAMPARA VINIL ESTATI
18006356	MENSAJE MARCA PVC RECORTADO AUTOSERVICIO
18006357	MESH VENTANILLA DP VINIL MICROPERFORADO
18006358	LONA CRUZACALLE COLGANTE PUBLICITARIA DP
18006359	VALLA PUNTO DE VENTA ESTRUCTURA METALICA
18006360	LONA VALLA PUNTO DE VENTA PUBLICITARIA
18006361	MAQUINA FUNFETTI SHOT CONTROL ALAMBRICO
18006362	SCKY DANCER NARANJA CON LOGO
18006363	CARRILERA METAL.C/LONAFULLCLR 2.5X1.0MTS
18006364	TAZA DEL POLLITO COLOR VERDE
18006365	VASO ACRILICO TRASPARENTE
18006366	CAPA DE NIÑO ESTANDAR
18006380	SEÑALAMIENTO:PVC;3MM;ALT;0.432X0.65CMS
18006381	SEÑALAMIENTO:PVC;3MM;ALT;40.7X45.0CMS
18006390	PROMOCIONALES CON LOGO
18006391	CAMISETAS ESTAMPADAS EVENTO CAPACITACION
18006400	PEDESTAL POLLITO TROQ PVC5MM1.00X1.68MTS
18006410	PREMIUM MIRACULOUS
18006411	EXHIBIDOR LLEVAR MIRACULOUS
18006430	VOLANTE B-70 4.25 X 5.5" FULL COLOR
18006440	STICKERMAMP VINILTROQUBLANCO 18.5X26.0CM
18006441	LONA PEDESTAL HD 2 CARAS 0.55 X 1.15 MTS
18006442	ROTULO PCV UV 3MM RIGIDO 0.60 X 1.20 MTS
18006450	LIBRETA PROMOCIONAL CON LOGO
18006451	LAPICERO PROMOCIONAL CON LOGO
18006452	VASO TERMICO PROMOCIONAL CON LOGO
18006453	PACHON PROMOCIONAL CON LOGO
18006454	SOMBRILLA PERSONALIZADA POLLO CAMPERO
18006460	ADHESIVO ALTMATE + MAGNETICO 1.25X0.61MT
18006461	BACKLIGTH ALTARESOL 0.45 X 0.58 MTS
18006462	BACKLIGTH ALTARESOL 0.41 X 0.41 MTS
18006463	BACKLIGTH ALTARESOL 0.45 X 0.34 MTS
18006464	BACKLIGTH ALTARESOL 0.51 X 1.55 MTS
18006465	BACK LITE ALTARESOL 0.46 X 1.37 MTS
18006466	BACK LITE ALTARESOL 0.94 X 0.64 MTS
18006467	LONA FULL COLOR 0.80 X 2.00
18006468	ADHESIVO ALTMATE PVC 3MM 0.83 X 1.14 MTS
18006469	ADHESIVO ALTMATE PVC 1MM 0.58 X 0.82 MTS
18006470	BACKLIGTH ALTARESOL 0.505 X 1.545 MTS
18006480	MESH+IMPRESIÓN FULL COLOR 3.00 X 2.10MTS
18006481	MESH+IMPRESIÓN FULL COLOR 1.00 X 2.10MTS
18006482	MESH+IMPRESIÓN FULL COLOR 8.50 X 2.90MTS
18006483	ESTRMETA+LONFUCOBACKNG+ABMET 2.00X3.00MT
18006484	ADHESIVO ALTMATE PVC 1MM 0.76 X 1.22 MTS
18006485	ADHESIVO ALTMATE PVC 3MM 0.15 X 0.50 MTS
18006487	CUPON LITOG A 4 COLOR CB-80 8.5X5.5"
18006488	HARINA TRIGO INA CORAZON 400GR
18006489	HARINA DE MAIZ DEL COMAL 10X2LB
18006490	LONA FULL COLOR 2.00 X 3.00 MTS
18006491	PELOTA ANTIESTRES COLOR NARANJA
18006492	ROLL UP MODELO LIGHT 0.80X2.00 MTS
18006493	BOLSA CON CORDON NON WOVEN CON LEYENDA
18006497	HABLADOR DE CAJA TRIANGULAR 0.31X0.25MTS
18006498	ROTULO PVC MODUL.INTERCAMBI 2.40X0.60MTS
18006499	ROTULO PCV UV 3MM RIGIDO 1..20 X 0.60MTS
18006501	PROMOCIONAL GIFTCARD POR Q.250.00
18006502	PROMOCIONAL GIFTCARD POR Q.500.00
18006503	SALIENTE PVC5MMADHESALTRES 1.20X0.45MT
18006504	HABLA. CAJA PVC3MM ADHESMATE O.40X0.40MT
18006505	BOTON PROMOCIONAL METALICO 7.0 X 7.0 CM
18006506	GLOBOS GUSCAFE BOLSA DE 100
18006507	DULCE CONFITERIA AMERICANA BOLSA DE 10 L
18006508	DULCE CONFITERIA AMERICANA BOLSA DE 5 L
18006509	DULCE CONFITERIA AMERICANA BOLSA DE 25 L
18006510	INA ESPAGUETTI 200G
18006511	GALLETA  WAFFLE CHOCOWOW 16X10X21
18006512	ETIQ 1/4CARTA TEXCOTE 12 EMPAL/TROQ/PER
18006513	BOLSA PLATICA NEGRA 38X36"
18006514	PLAYERA BLANCA DEPORTIVA: XS
18006515	PLAYERA BLANCA DEPORTIVA: S
18006516	PLAYERA BLANCA DEPORTIVA: M
18006517	PLAYERA BLANCA DEPORTIVA: L
18006518	PLAYERA BLANCA DEPORTIVA: XL
18006519	PLAYERA BLANCA DEPORTIVA: XXL
18006521	STICKER ADHESFULLCOLOR TROQ 1.23X1.23"
18006522	VOLANTE SW B-80 8.5 X 5.5" FULL COLOR
18006525	BANDERA:PUBLICIDAD;VERTICAL;EXTERIOR;3;M
18006526	BACKLIGTH ALTARESOL 0.46 X 1.37 MTS
18006527	PREMIUM DRAGON BALL
18006528	PREMIUM LOL
18006529	EXHIBIDOR LLEVAR DRAGON BALL
18006530	BOLSAS DE CAMBREL 26CM X 21CM
18006531	TARRO DE VIDRIO CAMPERO
18006532	PLACA 0.10 x 0.06 MTS ACRILICO 5 MM
18006533	STAND 1.00 x 1.00 MTS
18006534	STICKER ADHESIVOALTA 1.00X0.73MTS PVC5MM
18006535	STICKER ADHESIVO ALTA 1.73 X 0.45 MTS
18006536	STICKER ADHESIVO ALTA 4.70 X 0.90 MTS
18006537	ACM4MM VINIL SIMUL.MADERA 0.10X 1.50 MTS
18006539	AFICHE PARA RECLUTAMIENTO POLLO GRANJERO
18006540	LONA PEDESTAL HD 1 CARA 0.55 X 1.15 MTS
18006541	VALLA METALICA CAL 26 UV  6.00 x1.60MTS
18006542	VALLA METALICA CUADRADA UV 1.00X2.00MTS
18006543	SALIENTE ESTRUCTURA TUBO 1.20X1.20 MTS
18006544	STICKER MESH 0.50 x 0.90 CM
18006545	CERTIFICADO FULL COLOR  3.4 X 2.11"
18006546	BOCINA COLOR NEGRO BLUETOOTH SOLF TOUCH
18006547	PACHON DE VIDRIO CON FUNDA 500ML
18006548	TARJETONES 1/2CARTA DIGITAL 4 COLORES
18006549	MOCHILA INNOVACIONES CON LOGO BORDADO
18006550	BOTELLA:INNOVACIONES;ALUMINIO CON LOGO
18006554	POLIPTICO FILOSOFIA SERVICIO PC 24X4" DO
18006555	BOTON METAL 23K 3/4" INSTITUTO CAMPERO
18006556	BOTON METAL 23K 3/4" ACADEMIA CAMPERO
18006557	MEDALLA METAL EXCELENC INSTITUTO CAMPERO
18006558	MEDALLA METAL EXCELENC ACADEMIA CAMPERO
18006559	INSERTO MENU 17.33X9.75" C-16 FULL COLOR
18006560	BARRA DE SONIDO C/SUBWOOFER
18006562	VOLANTE 4.5 X 5.5" FULL COLOR
18006563	SALIENTE 5MM ADHESIVO MATE 0.40X0.80 MTS
18006566	AFICHE ADHE ALTAMATE PVC1MM 0.21X0.06MTS
18006567	MEDALLA CMI EXCELENCIA
18006568	KIT CALCETINES + ESTRELLITAS
18006570	PIN RECONOCIMIENTO GRADUANDOS INSTITUTO
18006571	LLAVERO RECONOCIMIENTO GRADUANDOS INSTIT
18006572	VIDRIO EXPRESS 6MM IMPR LÁMINA 6.5X7.5"
18006573	HABLADOR DE CAJA PVC 3MM 0.21 X 0.13 MTS
18006574	PROMOCIONAL GIFTCARD Q.350.00
18006576	ROTULO PROHIBIDO TOMAR FOTOS 13X30
18006577	VINIL .20 X .30 CAL 30 MÁXIMO 4 PERSONAS
18006578	BASTID TUBULAR MET 1X1" 1.2X0.6 MTS
18006579	GORRA FULL SUBLIMINADA MICROFIBRAPRIMIUM
18006580	PACHON PET COLOR BLANCO
18006581	VUVUZELA COLOR AMARILLO CON LOGO
18006582	SOPORTE CELULAR COLOR BLANCO
18006584	AFICHE ANUNCIO DE EMPLEO 12X18 PULGADAS
18006586	POP SOCKET PARA CELULAR
18006587	PROMOCIONAL GIFTCARD Q.300.00
18006588	PROMOCIONAL GIFTCARD Q.400.00
18006590	ROLLUP 80X200CM AUTOENROLLABLE
18006591	POLLITO INFLABLE 2MTS MOTOR 110V LUZ LED
18006593	INSERTO MENU 13.25X6.25" FULL COLOR
18006594	IMPRESION PELOTA FULL COLOR P.TEXCOTE 18
18006595	CALCETINES LUCES CAMPERO UNITALLA
18006598	CERTIFICADO B-9 FULL COLOR 3.40X2.11"
18006599	ADHESIVO ALTMATE PVC 5MM 0.25 X 0.70 MTS
18006614	LONA BACK GRIS FULL COLOR 5.00 X 4.50MTS
18006615	LONA BACK GRIS FULL COLOR 5.55 X 3.73MTS
18006616	LONA BACK GRIS FULL COLOR 4.90 X 2.45MTS
18006617	LONA BACK GRIS FULL COLOR 4.50 X 2.00MTS
18006618	LONA BACK GRIS FULL COLOR 5.47 X 1.75MTS
18006619	LONA BACK NEGRO FULL COLOR 1.20X2.00MTS
18006620	LONA BACK NEGRO FULL COLOR 2.00X3.00MTS
18006621	ESTRUCMETAL ADHEMET PVC 5MM 3.00X2.00MTS
18006622	BACKLIGTH ALTARESOL 0.84 X 0.50 MTS
18006623	BACKLIGTH ALTARESOL 0.84 X 0.55 MTS
18006624	BACKLIGTH ALTARESOL 0.50 X 0.25 MTS
18006625	BACKLIGTH ALTARESOL 0.85 X 0.39 MTS
18006626	BACKLIGTH ALTARESOL 0.33 X 0.33 MTS
18006630	STAND PLASTICO IMPREVINIL 0.80 X 0.85MTS
18006633	SEÑALPVC3MM IMPR.ALT/RESOL 0.57X1.11MTS
18006634	CERTIFICADO B-40 FULL COLOR 3.40X2.11"
18006635	CERTIFICADO B-41 FULL COLOR 3.40X2.11"
18006641	CERTIFICADO B-38 FULL COLOR 3.40X2.11"
18006642	VOLANTE 11X15 CM R&S
18006650	ADHESIVO ALTMATE PVC 1MM 0.25 X 0.70 MTS
18006651	ADHESIVO ALTMATE PVC 5MM 0.31 X 0.72 MTS
18006654	BOLSAS ECOLOGICAS SPORTYBAG 30X45 CM
18006655	KIT UNETE CAJA + VOLANTE
18006656	INSERTO MENU 4.26 X 8.28" FULL COLOR
18006663	PLAYERA NARANJA DEPORTIVA XS
18006664	PLAYERA NARANJA DEPORTIVA S
18006665	PLAYERA NARANJA DEPORTIVA M
18006666	PLAYERA NARANJA DEPORTIVA L
18006667	PLAYERA NARANJA DEPORTIVA XL
18006668	PLAYERA NARANJA DEPORTIVA XXL
18006669	PLAYERA AZUL DEPORTIVA XS
18006676	BOTARGA PREMIUM POLLITO CAMPERO
18006677	DIPLOMA FORMACION 11" X 8 1/2" PULG
18006680	PLAYERA AZUL DEPORTIVA S
18006681	PLAYERA AZUL DEPORTIVA M
18006682	PLAYERA AZUL DEPORTIVA L
18006683	PLAYERA AZUL DEPORTIVA XL
18006684	PLAYERA AZUL DEPORTIVA XXL
18006685	BUFANDA COLOR NARANJA
18006686	SUETER AZUL DEPORTIVA XS
18006687	SUETER AZUL DEPORTIVA S
18006688	SUETER AZUL DEPORTIVA M
18006689	SUETER AZUL DEPORTIVA L
18006690	SUETER AZUL DEPORTIVA XL
18006691	SUETER AZUL DEPORTIVA XXL
18006692	PROMOCIONAL GIFTCARD Q.150.00
18006695	LONA PDV LUCES MENU PALCO 3.65X1
18006696	LONDA FONDO LUCES PDV EXTERNO 1X1
18006697	PVC LOGO LUCES VENTANAS 3.88X0.5
18006698	PVC LOGO LUCES VENTANAS AREA 2 2.82X0.57
18006699	BANNER CIERRE PDV 2X1
18006704	MAGNÉTICOS STICKER O PLECA PC O TP
18006705	MENUS AM PARA RESTAURANTES
18006706	INSERTOS DE MENU PARA RESTAURANTES
18006707	MENUS QR ACRILICOS PARA RESTAURANTES
18006708	MENUS PM PARA RESTAURANTES
18006709	MATERIALES DE RESTAURANTES VARIOS
18006710	LONAS RUTA EVACUACION 4.30X0.9
18006711	LONA IMPRESA ENTRADA 2.50X1
18006712	VALLA DIRECCIONAMIENTO 10X5
18006713	VINIL PVS NO ALIMENTOS 2.5X1
18006714	BANNER CIERRE VIP 4X0.7
18006715	BANNER CIERRE VIP AREA 2 12.30X0.85
18006716	VALLAS POSTERIOR BIENVENIDO 38X5
18006717	ROTULO PDV EXTERNOS PVC 4X0.50
18006718	ROTULO NIÑOS ENCONTRADOS 4X0.50
18006719	FONDO LUCES LONA 6X1
18006720	FONDO LUCES LONA 4X1
18006721	HABLADOR DE CAJA LUCES 0.33X0.39
18006722	MENU PDV 4X0.50
18006723	ROTULOS DIRECCIONALES CAD 1X1
18006724	PROMOCIONAL COUCHE 8.5X11
18006725	ROTULO VINIL ADHESIVO UV 1.35X0.80 MTS
18006726	MENU REUTILIZABLE AM 27.86X11.42"C12MATE
18006728	BRAZALETE NUMER BLCO RESIS AGUAIMPREAZUL
18006729	BRAZALETE NUMER AZNEO RESIS AGUAIMPRE NG
18006730	HABLADOR DE CAJA AUTOSERVICIO
18006731	COLGANTES DE RETIRE Y ORDENE AQUÍ FC
18006732	MATERIAL DE ROTULACION PARA RESTAURANTES
18006733	MATERIAL PUBLICITARIO PARA UM
18006734	VOLANTES PARA ACTIVACIONES DE MARCA
18006735	MATERIAL GRAFICO PARA ACTIVACION MARCA
18006736	BACKLIGHTS PREVIOS, SALIENTES DE MENÚ
18006737	CUADROS DE AUTOSERVICIO DE RESTAURANTES
18006738	TRIFOLARES PROMOCIONALES CENTROS DE MESA
18006739	LUCES CAMPERO PIROTECNIA
18006740	LUCES CAMPERO KITS PARA CAMPAÑAS
18006741	EQUIPO DE ACTIVACION COMERCIAL DE LUCES
18006742	LUCES CAMPERO ANIMACION DEL EVENTO
18006743	LUCES CAMPERO MATERIALES POP
18006744	LUCES CAMPERO MATERIALES DE FERRETERIA
18006745	LUCES CAMPERO COMIDA DEL PERSONAL
18006746	LUCES CAMPERO GORRAS
18006747	GIFT CARDS LEALTAD Y PREMIOS VARIOS
18006748	STAND DE CONSUMITA PARA EVENTOS
18006749	EXHIBIDOR DE LONCHERITA
18006750	EXHIBIDOR DE TIENDA DE POLLITO
18006751	EXHIBIDOR DE POLLITO
18006752	KITS PARA ACTIVACIONES DE UNETE
18006753	NCC TICKETS
18006754	NCC PREMIOS EFECTIVO
18006755	AUTOS DE GRAN RIFA UNETE
18006756	LAPTOPS DE GRAN RIFA ÚNETE
18006757	CELULARES DE GRAN RIFA ÚNETE
18006758	NCC ALIMENTACIÓN
18006759	MEGALED PUBLIMOVIL RENTA
18006760	PAUTA COMERCIAL VALLAS
18006761	PAUTA COMERCIAL TV
18006762	PAUTA COMERCIAL RADIO
18006763	BIOMBOS PRODUCTOS NUEVOS TMK
18006764	WINDOW STIKCER NORMAL Y GIGANTE
18006765	ACTIVACIONES BTL PARA EVENTOS VARIOS
18006766	TOMA DE FOTOGRAFÍA
18006767	PANTALLAS DE MENU Y PROMOCIONALES RES
18006768	BRACKETS DE PANTALLAS DE RESTAURANTES
18006769	MENÚS DE AUTO SERVICIO TEMPORALES
18006770	BACKING PARA EVENTOS VARIOS
18006771	UNIFORMES PARA ACTIVACIONES DE MARCA
18006772	AERO AFICHES DE FOOD COURTS
18006773	EXHIBIDOR DE SALSAS CAMPERO AREA LLEVAR
18006774	MENÚS DE AUTO TEMPORALES
18006775	MANTELITOS LONCHERITA
18006776	ROTULOS PROMOCIONALES DE CAMPERO
18006777	BACKLIGTS DE MENU EXCLUSIVO
18006778	MINI MENUS DE AUTO
18006779	GLOBOS PERSONALIZADOS PARA EVENTOS
18006780	ROTULACION ACRILICOS FOODCOURTS
18006781	CUPONERAS PARA RESTAURANTES
18006782	HABLADOR DE CAJA PRINCIPAL
18006783	EASYCLICK LLEVAR Y AUTO
18006784	MENÚ MAGNÉTICO PARA REST NO REMODELADO
18006785	PLECA REGLAS DE USO PARQUE INFANTIL
18006786	PLECA PISCINA DE PELOTAS CERRADA
18006787	PLECA AFORO DE NIÑOS PARA JUEGOS
18006788	PLECA TIEMPO LIMITE PARA USO DE JUEGOS
18006789	PLECA PARA BAÑOS DE AGUA
18006790	PLECA PARA BAÑOS DE JABON
18006791	PLECA SOLO PERSONA AUTORIZADO
18006792	PLECA HALA Y EMPUJA
18006793	PLECA PARA LLEVAR
18006794	PLECA ORDENA AQUÍ
18006795	PLECA DE BAÑOS (DAMAS Y CABALLEROS)
18006796	PLECA BASURERO
18006797	PLECA PARQUEO EXCLUSIVO MOTOS
18006798	PLECA SALIDA DE EMERGENCIA
18006799	PLECA GRIFO AUTOMATICO
18006800	PLECA CAMBIA A TU BEBÉ AQUÍ
18006801	STICKER NO SE PERMITE INGRESO MASCOTAS
18006802	STICKER DE HORARIO
18006803	STICKER DE BIENVENIDO
18006804	STICKER NO SE PERMITEN ALIMENTOS
18006805	STICKER ESPEJO BAÑO
18006806	STICKER HUELLAS DE DISTANCIAMIENTO
18006807	STICKER DE TRAPEZOIDES PARA PUERTAS
18006808	PLECA DE KETCHUP
18006809	PLECA DE PICANTE
18006810	PLECA DESINFECTA TUS MANOS
18006811	AFICHE PARA AUTOSERVICIO PROMO  VENTANA
18006812	PLECA MENÚS DESINFECTADOS
18006813	PLECA DE POLLITO PARA PEDIGEL TOLDOS
18006814	ROTULOS DE RETROFIT PARA TOLDOS ACTIVOS
18006815	BANNER TIPO MUPIS TROQUELADOS
18006816	BANNER TIPO ARAÑA GRANDES
18006817	BANNER TIPO ARAÑA PEQUEÑA
18006818	BANNER ROLL UP
18006819	BASES DE EASY CLICK
18006820	DEGUSTADORES PROMOCIONALES
18006821	CORTINAS TIPO ROLLER PARA VENTANAS DE RS
18006822	BACKLIGTH MAQUINA DE REFIL.
18006823	STICKER PARA MAQUINAS DE HELADO
18006824	STICKER PARA TERMOS DE CAFÉ
18006825	WS DE SEMÁFORO CON 02 FLECHAS NARANJAS
18006826	PLECA USO DE MASCARILLA PARA BOCINA
18006827	PLECA USO DE MASCARILLA PARA VENTANILLA
18006828	STICKER PARA MANTENEDORES DE PEPSI
18006829	EXHIBIDOR DE POLLITO ÁREA DE LLEVAR
18006830	EXHIBIDOR TIENDA DEL POLLITO
18006831	EXHIBIDOR SALSAS BRAN
18006832	EXHIBIDOR DE LONCHERITA FC
18006833	EXHIBIDOR PREMIUM PARA AUTOSERVICIO
18006834	ACRILICO PORTA LIBRO DE LA DIACO
18006835	PLECA QR PARA PODIUM
18006836	REGLAS DE INGRESO Y AFORO PARARS
18006837	PLECA EMPUJA CON TU BRAZO
18006838	PLECA PREVENCIÓN CARRITO DE SERVICIO
18006839	ACRILICO PORTA AFICHE LIMPIEZA DE BAÑO
18006840	AFICHE DE LIMPIEZA PARA BAÑO
18006841	AFICHE PERSONAS MÁXIMAS BAÑOS
18006842	PLECA QR PARA COLUMNA DE ENTRADA
18006843	STICKER PARA MAMPARAS DE LLEVAR
18006844	STICKER PARA MAMPARAS DE AUTOSERVICIO
18006845	ACRILICOS QR PARA MESAS
18006846	GAFETES ACRÍLICOS NOMBRES COLABORADORES
18006847	ROTULACIÓN DE CAJÓN PARA MOTO
18006848	ARTE IMPRESO EN LONA  ZONA DE PORTERIA
18006849	LONAS DE PORTERIA PARA CARRETA TP
18006850	LONAS DE BURRITOS PARA CARRETA TP
18006851	SALIENTE LATERAL PARA CARRETA TP
18006852	HABLADOR DE CAJA PARA CARRETA TP
18006853	PLECAS PARA HORNOS DE CARRETA TP
18006854	TECHOS TIPO SOMBRA PARA CARRETAS TP
18006855	TECHO CIRCULAR PARA CARRETA TP
18006856	PLECA ACM PARA HORNO MANTENEDOR DE POLLO
18006857	STICKER PARA MAQUINA DE REFILL
18006858	ACRÍLICO PORTA AFICHE TAMAÑO CARTA
18006859	ACRILICO PARA PUERTAS DE MB
18006860	FRASES DE RETROFIT ACRILICO INTERIOR RS
18006861	ROTULO DE ALTURA MAXIMA
18006862	ROTULO REGLAS DE PARQUEO
18006863	ROTULOS DIRECCIONAL DE AUTOSERVICIO
18006864	ROTULOS DIRECCIONAL DE ENTRADA
18006865	ROTULOS DIRECCIONAL DE SALIDA
18006866	ROTULO DE ORDEN AQUÍ
18006867	ROTULOS SALIENTE ÁREA DE ENTREGA
18006868	SALIENTE PARA BOCINA AUTOSERVICIO
18006869	SALIENTE PARA MB AUTOSERVICIO
18006870	VALLAS CRUZA CALLES
18006871	VALLAS DIRECCIONALES EN RS
18006872	BANDEROLAS DE COMUNICACIÓN CAMPERO
18006873	ROTULOS LUMINOSOS KIOSCOS HELADOS
18006874	ROTULOS LUMINOSOS LOGO PC
18006875	PEDESTALES CON BASE FUNDIDA
18006876	PEDESTALES CON BASE FIJA
18006877	ROTULACION PARA MAQUINA DE POST MIX
18006878	STAND CON IMAGEN PC PARA EVENTOS
18006879	CARRILERAS DOBLE CARA CON IMAGEN PC
18006880	BIOMBOS TROQUELADOS PARA CAMPAÑAS
18006881	VITRALES TROQUELADOS PARA VENTANALES
18006882	VITRALES GIGANTES PARA VENTANALES DE RS
18006883	PHOTOBOOTH PARA ACTIVACIONES DE MARCA
18006884	DULCES PARA ACTIVACIONES COMERCIALES
18006885	LONA BACK NEGRO FULL COLOR 2.00X1.00MTS
18006886	LONA BACK NEGRO FULL COLOR 0.90X1.65MTS
18006887	LONA BACK NEGRO FULL COLOR 5.07X2.63MTS
18006888	LONA BACK NEGRO FULL COLOR 1.76X2.05MTS
18006889	ADHESIVO ALTMATE 0.40 X 0.40 MTS
18006890	LONA BACK NEGRO FULL COLOR 1.00X1.00MTS
18006891	LONA MESH FULL COLOR 2.57 X 2.00 MTS
18006892	ADHESIVO ALTMATE 0.60 X 1.00 MTS
18006893	ESTRUCT.ARAÑA C/LONA FULCLR 0.32X0.42MTS
18006894	BASTIDOR C/LONABACNG FULCLR 1.20X2.40MTS
18006895	LONA BACKNG FULCLR C/BOL 6.00 X 1.00 MTS
18006896	LONA ESTRUC.ROLLUP FULLCOLOR0.80X2.00MTS
18006897	LONA BACK NEGRO FULL COLOR 4.00X1.50MTS
18006898	ADHESIVO ALTMATE 2.50 X 1.00 MTS
18006899	LONA BACK NEGRO FULL COLOR 1.80X3.00MTS
18006900	ACMBA.FUNDC/PDS.IMDCUVCORTCNC0.60X1.20MT
18006901	PVC 3MM IMPRE DIRC UV 0.18 X 0.12 MTS
18006902	BASTIDOR C/LONABACNG FULCLR 2.00X1.00MTS
18006903	LONA BACK NEGRO FULL COLOR 3.70X0.71MTS
18006904	LONA BACK NEGRO FULL COLOR 4.65X2.00MTS
18006905	LONA BACK NEGRO FULL COLOR 0.80X2.00MTS
18006906	LONA BACK NEGRO SIN IMPRE 10.00X2.50MTS
18006907	LONA BACK NEGRO FULL COLOR 11.50X2.00MTS
18006908	LONA BACK NEGRO FULL COLOR 8.85X2.00MTS
18006909	ACRI 5MM SIST ELECT LUZ LED 1.00X1.00MT
18006910	ROTULO PVC CMI ENTRADA PRINCIPAL
18006911	ROTULO PVC CMI RECEPCION
18006912	VINIL ADHESIVO LETRAS RECEPCION
18006913	VINIL ADHESIVO SIEMPRE PA'LANTE RECLUTAM
18006914	VINIL ADHESIVO SÍ SE PUEDE CLINICA
18006915	VINIL ADHESIVO CUENTAS CLARAS AREA CAFE
18006916	VINIL ADHESIVO HUELLITAS CAPACITACION
18006917	VINIL ADHESIVO REIR CAMBIA CAPACITACION
18006918	VINIL ADHESIVO ISOTIPO DP SUPER PECHUGA
18006919	VINIL ADHESIVO DON JUANITO PASILLO SALON
18006920	VINIL ADHESIVO ISOTIPO DON POLLO SALON
18006921	VINIL ADHESIVO REIR NOS UNO SALON CAMPER
18006922	VINIL ADHESIVO BIENESTAR PASILLO RECEPCI
18006923	VINIL ADHESIVO SEGUIMOS CONSTRUYENDO REC
18006924	VINIL ADHESIVO EDIFICIOS RECLUTAMIENTO
18006925	FORRADO VINIL COMPLETO CARRETA DP
18006926	FORRADO VINIL COMPLETO TUC TUC DP
18006927	PERFILERIA ALUMINIO PARA RIGIDO DP
18006928	VOLANTE PROMOCIONAL DP 1/4 PAG
18006929	PANEL MENU BOARD PVC DP
18006930	PORTA GAFETE PROMOCIONAL DP
18006931	CAMISETA PROMOCIONAL DP
18006932	LONA BACK NEGRO FULL COLOR 3.00X1.00MTS
18006933	LONA BACK NEGRO FULL COLOR 3.00X1.50MTS
18006934	ADHESIVO ALTMATE 0.96 X 0.38 MTS
18006935	PVC 5MM IMPRE DIRC UV 1.18 X 01.22 MTS
18006936	VINIL HISTORIA RES
18006937	CERTIFICADOS B-42 FULL COLOR 3.40X2.11"
18006938	CERTIFICADOS B-44 FULL COLOR 3.40X2.11"
18006939	MAMPARA ADHESALTMATE PVC1MM 1.10X0.75MTS
18006943	CAJA 23.65X38.45" FULL CLR PA.TEX18 TROQ
18006944	GRAMA ARTIFI 2.00 X 1.50MTS CANCHAFUTBOL
18006945	PORTERIA PVC FORRADO CON VINIL INSTITUC
18006947	BANNER BACKING 4.00 X 2.00
18006948	HABLADOR DE CAJA 30 X 25 CM IMPRESION UV
18006949	STICKMAMP.VLSTATICOBLCTROQ 18.5X26CMIMUV
18006950	BRAZALETE NUMER ROJO RESIS AGUAIMPRE NG
18006951	BRAZALETE NUMER VERDE RESIS AGUAIMPRE NG
18006952	MARBETE COLOR AZUL
18006953	CAMISA MUNDIAL INSTITUCIONAL NARANJA XS
18006954	CAMISA MUNDIAL INSTITUCIONAL NARANJA S
18006955	CAMISA MUNDIAL INSTITUCIONAL NARANJA M
18006956	CAMISA MUNDIAL INSTITUCIONAL NARANJA L
18006957	CAMISA MUNDIAL INSTITUCIONAL NARANJA XL
18006958	CAMISA MUNDIAL INSTITUCIONAL NARANJA 2XL
18006959	LONA BACK NG 2.40X1.20MTS FULCLR TUBMT2"
18006960	LONAS PEDESTAL 0.55 X 1.15 MTS FULLCOLOR
18006961	PVC RIGIDO AUTO  3MM DE 0.60 X 1.20 MTS
18006962	PVC RIGIDO LLEVAR  3MM DE 0.60 X 1.20MTS
18006963	VOLANTES 4.25 X 5.5" C B-70 FULL COLOR
18006964	STICKER MOTOS CAD
18006966	TOLDO LONA 6X1.2 MTS
18006967	ESTRUCTURA EXTERNA VALLA 120 X 240CM
18006968	ROTULO CORPOREOS 3.20 X 1.55 MTS
18006969	INSERTO MENU 6 X 12" C-12 FULL COLOR
18006974	LONA FULL COLOR 1.50 X 1.50 MTS
18006975	LONA FULL COLOR 1.50 X 1.00 MTS
18006976	LONA FULL COLOR 2.00 X 1.50 MTS
18006977	LONA FULL COLOR 0.90 X 1.10 MTS
18006978	LONA BACK NEGRO FULL COLOR 1.50X4.50MTS
18006979	LONA BACK NEGRO FULL COLOR 6.00X1.50MTS
18006983	CORTADOR DE PIZZA BRANDEADO
18006984	RECIPIENTE TUPER FORMA PIZZA BRANDEADO
18006985	AISLADOR BRANDEADO
18006986	CONDIMENTERO BRANDEADO
18006987	CALCETINES TISHAS PERSONALIZADAS
18006988	CAJA PVC 37 X 30 X 10 CMS FULL COLOR
18006989	STICKER TROQUE FULL COLOR 5CMS DIAMETRO
18006990	LONA BACK NEGRO FULL COLOR 1.20X2.40MTS
18006991	LONA BACK NEGRO FULL COLOR 47.50X1.00MTS
18006992	LONA BACK NEGRO FULL COLOR 30.00X1.00MTS
